customer_id,first_name,last_name,gender,phone,city,loan_amount
1,Betsy#,Belson$,Female,735 190 5897,Chicago,141
2,Aldric#,Itzkovsky$,Female,786 815 1272,Boston,456
3,Rheta#,Carrack$,Male,348 686 8290,Atlanta,247
4,Archy#,Lebel$,Female,524 947 1756,Chicago,402
5,Eba#,Towsie$,Female,631 366 4190,Seattle,304
6,Udale#,Strathe$,Female,179 804 2743,Boston,114
7,Sutherland#,Bullard$,Male,183 659 0732,Chicago,285
8,Pollyanna#,Widmore$,Male,965 635 0656,Boston,143
9,Minni#,Lindro$,Male,542 923 6807,Atlanta,151
10,Miof mela#,Sparrowe$,Male,344 404 0214,Chicago,239
11,Gideon#,Fink$,Female,656 628 9827,Seattle,140
12,Clywd#,Petrushkevich$,Male,737 133 6828,Seattle,182
13,Garvy#,Quarles$,Female,170 439 5073,Seattle,500
14,Rosette#,Skyram$,Male,215 338 5865,Boston,197
15,Massimo#,Dunkinson$,Male,531 347 3013,Atlanta,217
16,Loni#,Rosenfarb$,Female,293 219 4930,Atlanta,444
17,Jephthah#,Sirman$,Female,176 669 8340,Chicago,245
18,Bailie#,Skough$,Female,864 356 1046,Boston,365
19,Grantley#,Keyes$,Male,599 755 2725,Atlanta,425
20,Hallsy#,O'Hartigan$,Female,570 864 0656,Boston,154
21,Pippo#,Larkin$,Male,305 894 9396,Chicago,324
22,Gayleen#,Crookston$,Female,498 744 8180,Chicago,445
23,Christabella#,Kniveton$,Male,250 651 9726,Atlanta,258
24,Lazaro#,Lomis$,Male,984 263 7321,Seattle,317
25,Belva#,Nasi$,Female,886 952 3618,Boston,257
26,Roberta#,Tingly$,Male,140 714 7255,Seattle,430
27,Kellen#,Flear$,Female,850 223 5412,Seattle,136
28,Judon#,Santen$,Male,972 525 2087,Seattle,296
29,Caron#,Leathes$,Male,840 725 9928,Boston,207
30,Jessee#,Poulden$,Female,383 939 6584,Atlanta,395
31,Kristina#,Hunnicot$,Female,850 984 8076,Seattle,469
32,Freddy#,McCosker$,Female,719 754 8288,Seattle,215
33,Ollie#,Shallo$,Male,768 710 5436,Boston,105
34,Alicea#,Summerson$,Female,468 180 4781,Seattle,473
35,Jazmin#,Planke$,Male,873 766 7679,Atlanta,444
36,Gale#,Lamswood$,Male,978 881 0000,Seattle,219
37,Keenan#,Malecky$,Female,244 285 5039,Seattle,432
38,Kristin#,Stanhope$,Male,512 123 1980,Boston,275
39,Warner#,D'Orsay$,Male,486 726 7670,Boston,362
40,Shirline#,Carrigan$,Male,459 741 5279,Seattle,121
41,Ollie#,Pudsey$,Male,744 577 9272,Chicago,280
42,Jasper#,Martinovsky$,Female,299 198 1357,Atlanta,492
43,Abrahan#,Boughton$,Male,270 884 0422,Chicago,465
44,Slade#,Hardistry$,Female,680 446 4714,Boston,125
45,Romona#,Crowson$,Female,475 530 4319,Boston,218
46,Anatole#,Doerling$,Female,230 270 7985,Boston,406
47,Rickie#,Creeghan$,Male,939 953 3908,Boston,443
48,Rudolfo#,Bigglestone$,Male,934 461 6609,Chicago,313
49,Broderick#,Oldknowe$,Male,274 225 2911,Chicago,213
50,Maridel#,Ruffey$,Male,104 343 2737,Chicago,487
